County,Waste,Activity,Permit,Name,Status,Address,City,Contact,Phone
Guilford,LCID,LF,41P-LCID-,Fryar Grading and Hauling LCID Landfill,Active,5233 McLeansville Rd.,McLeansville,Mr. Robert R. Fryar Jr,(336) 382-7462
Guilford,LCID,LF,41R-LCID-2011,Viewmont Sandrock Mine And Landfill,Active,4052 Viewmont Road,Greensboro,Mr. Jay Nivens,(704) 409-1475
Guilford,LCID,LF,41S-LCID-,"D & D Grading, Inc. ",Active,4111 Rankin Mill Road,McLeansville,Mr. David Dick,(336) 621-4021
Halifax,CD,LF,4204-CDLF-2013,Halifax County Landfill,Active,921 Liles Rd.,Littleton,Mr. Ed Stanfield,(252) 586-7516
Halifax,MSW,Trans,4204-TRANSFER-2013,Halifax County Landfill,Active,921 Liles Rd.,Littleton,Mr. Ed Stanfield,(252) 586-7516
Halifax,MSW,Trans,4205T-TRANSFER-1997,"Weldon, Town of Transfer Facility",Active,2211 Hwy 301 North,Halifax,Mr. Chris Williams,(252) 536-2011
Halifax,LCID,LF,42A-LCID-,Roanoke Valley LCID Landfill,Active,2055 Hwy 301,Weldon,Mr. Benjamin Rightmyer,(252) 537-3223
Harnett,CD,LF,4302-CDLF-2018,Dunn-Erwin Area 2 C&D Landfill,Active,449 Daniels Rd.,Dunn,Mr. Chad Beane,(910) 814-6004
Harnett,LCID,LF,4302-LCID-,Harnett County-Dunn/Erwin LCID Landfill,Active,449 Daniels Road,Dunn,Mr. Chad Beane,(910) 814-6004
Harnett,CD,LF,4303-CDLF-1997,Harnett Co. Anderson Creek C&D Landfill,Active,1086 Poplar Drive,Spring Lake,Mr. Chad Beane,(910) 814-6004
Harnett,Tire,LF,4304-TIRELF-1992,Central Carolina Tire Monofill,Active,1616 Mckoy Town Rd,Cameron,Mr. Robert Tuneburg,(919) 498-7431
Harnett,MSW,Trans,4307T-TRANSFER-1997,Harnett County Transfer Station,Active,449 Daniels Rd.,Dunn,Mr. Chad Beane,(910) 814-6004
Harnett,Tire,TP,4308-TIRETP-,Central Carolina Tire Processing,Active,1616 Mckoy Town Rd,Cameron,Mr. Robert Tuneburg,(919) 498-7431
Harnett,MSW,Trans,4309T-TRANSFER-,Anderson Creek Landfill Transfer Station,Active,1086 Poplar Drive,Spring Lake,Mr. Chad Beane,(910) 814-6004
Harnett,LCID,LF,43C-LCID-,Blaylock Grading LCID Landfill,Active,1025 Claude White Rd.,Sanford,Mr. Harold Blaylock,(910) 818-8398
Harnett,LCID,LF,43D-LCID-,Bryant Grading LCID Landfill,Active,376 Spence Mill Road,Fuquay Varina,Mrs. Peggy Bryant,(919) 552-3420
Harnett,LCID,LF,43E-LCID-,McArtan Mine LCID Landfill,Active,"SR 2027, Josey Williams Rd.",Bunnlevel,Mr. Steve Waters,(910) 978-2412
Harnett,LCID,LF,43F-LCID-2010,Weeks Sandpit #2 LCID,Active,20710 NC Hwy 24 / 27,Cameron,Mr. Jeff Lees,(919) 353-0865
Haywood,Indus,LF,4406-INDUS-1984,"Blue Ridge Paper Products, Inc.",Active,1155 Incinerator Road,Canton,Mr. Nick Batton,(828) 424-0101
Haywood,MSW,LF,4407-MSWLF-1993,Haywood Co White Oak Landfill,Active,3898 Fines Creek Road,Waynesville,Mr. John Preston,(423) 650-3095
Haywood,MatRecovery,TP,4408-MWP-,Haywood County MWP Facility,Active,278 Recycle Road,Clyde,Mr. Lester Harris,(828) 627-8042
Henderson,HHW,TP,4504-HHW-2011,Henderson County HHW Unit,Active,265 Convenience Center Drive,Hendersonville,Mr. Greg Wiggins,(828) 388-8377
Henderson,MSW,Trans,4504T-TRANSFER-1998,Henderson County Transfer Facility,Active,191 Transfer Station Drive,Hendersonville,Mr. Greg Wiggins,(828) 388-8377
Henderson,LCID,TP,4507-TP,Riverside Stump Dump at Mills River,Active,5055 Old Haywood Road,Mills River,Mrs. Clara Ray,(828) 258-7339
Hertford,MSW,Trans,4602T-TRANSFER-1995,Hertford County Transfer Station,Active,227 Mount Moriah Rd,Ahoskie,Mrs. Judy Baker,(252) 358-3601
Hoke,MSW,Trans,4702-TRANSFER-1994,Hoke County Transfer Station,Active,700 CC Steele Rd.,Raeford,Mr. DON RUSSELL,(910) 875-3111
Hoke,LCID,LF,47A-LCID-1996,Hoke County LCID Landfill,Active,700 C.C. Steele Rd,Raeford,Mr. DON RUSSELL,(910) 875-3111
Hyde,Type III,Compost,4801-COMPOST-,Rose Acre Farms,Active,1560 Hyde Park Canal,Pantego,Mr. William Kelm,(252) 935-5800
Iredell,HHW,TP,4903-HHW-2020,Iredell County Househouse Hazardous Waste,Active,354 Twin Oaks Road,Statesville,Mr. David Lambert,(704) 878-5430
Iredell,MSW,LF,4903-MSWLF-1993,Iredell County Sanitary LF,Active,354 Twin Oaks Road,Statesville,Mr. David Lambert,(704) 878-5430
Iredell,MSW,Trans,4904T-TRANSFER-1998,Iredell County Transfer Station,Active,158 Macleod Drive,Mooresville,Mr. David Lambert,(707) 878-5430
Jackson,MSW,Trans,5003T-TRANSFER-,Jackson County Scott Creek Transfer Station,Active,48 Recycle Place,Sylva,Mr. Chad Parker,(828) 586-2437
Johnston,CD,LF,5103-CDLF-,Johnston County C&D Landfill,Active,680 County Home Road,Smithfield,Mr. Rick Proctor,(919) 938-4750
Johnston,MSW,LF,5103-MSWLF-,Johnston County Landfill,Active,680 County Home Road,Smithfield,Mr. Rick Proctor,(919) 938-4750
Johnston,MSW,LF,5103-MSWLF-1997,Johnston County Landfill,Active,680 County Home Road,Smithfield,Mr. Rick Proctor,(919) 938-4750
Johnston,LCID,TP,5106-TP-2019,West Farms Wood Products T&P,Active,1683 Barefood Road,Newton Grove,Ms. Amber Parnell,(919) 207-2539
Jones,CD,TP,5202-TP-2012,Maysville C&D Recycling & Recovery Facility,Active,11710 Hwy 17N,Maysville,Mr. Kevin Dail,(910) 284-2309
Jones,CD,LF,5203-CDLF-2013,Maysville C & D,Active,11710 Hwy 17 N,Maysville,Mr. Kevin Dail,(910) 284-2309
Lee,Type III,Compost,5303-COMPOST-1992,Sanford Compost Facility,Active,601 N 5th St,Sanford,Mr. Kris Furmage,(919) 777-1209
Lee,MSW,Trans,5304T-TRANSFER-1993,Waste Man. - Lee Co. Transfer Station,Active,2720 Wilkins Dr,Sanford,Mr. Ronald Smith,(910) 480-4024
Lee,MSW,Trans,5305-TRANSFER-2013,Sanford Transfer Station,Active,3290 McDonald Drive,Sanford,Mr. LeRoy Hatmaker,(910) 237-2825
Lenoir,CD,LF,5403-CDLF-1997,Lenoir County CDLF,Active,2949 Hodges Farm Rd,La Grange,Mr. Hal Oliver,(252) 526-0662
Lenoir,MSW,Trans,5405T-TRANSFER-1998,Lenoir County Transfer Facility,Active,2949 Hodges Farm Rd,La Grange,Mr. Hal Oliver,(252) 526-0662
Lenoir,MSW,Trans,5408-TRANSFER-2014,Deep Run Transfer Station,Active,2287 Leslie R Stroud Road,Kinston,Mr. Travis Pope,(252) 903-1409
Lenoir,MSW,LF,5409-MSWLF-,Lenoir County MSW Landfill,Active,294 Hodges Farm Rd,La Grange,Mr. Hal Oliver,(252) 526-0662
Lenoir,LCID,LF,5410-LCID-2016,Everett's LCID Pit,Active,4100 Aldridge store rd,Lagrange,Mr. Lynn Everett,(252) 560-3356
Lincoln,CD,LF,5503-CDLF-1999,Lincoln County C&D Unit,Active,5291 Crouse Road,Crouse,Mr. Mark Bivins,(704) 736-8477
Lincoln,MSW,LF,5503-MSWLF-1986,Lincoln County Landfill,Active,5291 Crouse Road,Crouse,Mr. Mark Bivins,(704) 732-9030
Lincoln,CD,LF,5504-CDLF-1999,Lake Norman Landfill,Active,7099 Quarry Ln,Stanley,Mr. Rob LaTourette,(704) 712-8560
McDowell,MSW,Trans,5602T-TRANSFER-1995,McDowell Co Transfer Facility,Active,3809 NC 226 South,Marion,Mr. Terry DePoyster,(828) 659-2521
Macon,MSW,LF,5703-MSWLF-1992,Macon County Landfill Open,Active,1448 LAKESIDE DRIVE,FRANKLIN,Mrs. JUNE CASSADA,(828) 349-2215
Macon,MSW,Trans,5704T-TRANSFER-2008,Highlands Transfer Station,Active,1080 Rich Gap Rd.,Highlands,Mr. Dakota Webb,(828) 526-2073
Macon,Type III,Compost,5705-COMPOST-,"B & B Concrete Products, Inc.",Active,1687 Georgia Road,Franklin,Mr. Jeremy Decker,(828) 524-6483
Madison,CD,LF,5803-CDLF-1995,Madison County C&D Unit,Active,271 Craig Rudisill Road,Marshall,Mr. Sam Lunsford,(828) 649-2311
Madison,HHW,Collection,5803-HHW-,Madison County Solid Waste HHW,Active,271 Craig Rudisill Road,Marshall,Mrs. Rebecca Shook,(828) 649-2311
Madison,MSW,Trans,5803T-TRANSFER-2002,Madison County Transfer,Active,271 Craig Rudisill Rd,Marshall,Mrs. Sam Lunsford,(828) 649-2311
Martin,CD,LF,5901-CDLF-1995,Martin County C&D Landfill,Active,1445 Landfill Rd,Williamston,Mr. Justin Harrison,(252) 799-6552
Mecklenburg,Indus,LF,6004-INDUS-1981,Duke Energy Carolinas - McGuire,Active,13339 Hagers Ferry Road,Huntersville,Ms. Courtney Murphy,(704) 382-7171
Mecklenburg,Type I,Compost,6012-COMPOST-1991,Mecklenburg County-Central Compost,Active,5631 West Blvd,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,CD,LF,6013-CDLF-1993,Greenway Waste Solutions at North Meck,Active,15300 Holbrooks Rd,Huntersville,Mr. Roger Barnes,(704) 875-3367
Mecklenburg,MSW,Trans,6014-TRANSFER-2009,Queen City Transfer Station,Active,3130 Jeff Adams Road,Charlotte,Mr. Dustin Janes,(931) 320-1380
Mecklenburg,YW,Compost,6015TP-COMPOST-,Hensons' Inc. Mulch & More Pineville,Active,13010 Lancaster Hwy,Pineville,Mr. Randy Flynn,(828) 859-5836
Mecklenburg,HHW,Collection,6016TP-HHW-,North Mecklenburg HHW Facility,Active,12300 Statesville Road,Huntersville,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,YW,TP,6016TP-HHW-,North Mecklenburg HHW Facility,Active,12300 Statesville Road,Huntersville,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,HHW,Collection,6017TP-HHW-,Hickory Grove HHW Recycling Facility,Active,8007 Pence Road,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,YW,TP,6017TP-HHW-,Hickory Grove HHW Recycling Facility,Active,8007 Pence Road,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,Type I,Compost,6019-COMPOST-2017,Mecklenburg County Landfill,Active,17131 Lancaster Hwy,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,HHW,Collection,6019-HHW-,Mecklenburg County Landfill,Active,17131 Lancaster Highway,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,MSW,LF,6019-MSWLF-2000,Mecklenburg County Landfill,Active,17131 Lancaster Hwy,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,LCID,TP,6021-TP-,Ron Brewer Wood Recycling Center,Active,10050 Metromont Industrial Blvd,Charlotte,Mrs. Beverly Brewer,(704) 399-5500
Mecklenburg,Type III,Compost,6022-COMPOST-,Wallace Farms Compost Facility,Active,14410 Eastfield Road,Huntersville,Mr. Eric Wallace,(704) 875-2975
Mecklenburg,LCID,TP,6025-TP-,"Soil Supply, Inc.",Active,10219 Hagers Road,Huntersville,Mr. Gary Stinson,(704) 875-3774
Mecklenburg,MSW,Trans,6029-TRANSFER-2012,O'Leary Resource Recovery Center,Active,3307 Darby Avenue,Charlotte,Mr. Jimmie Jones,(704) 338-6898
Mecklenburg,Type III,Compost,6033-AD-COMPOST-2015,Orbit Energy Anerobic Digester Charlotte,Active,600 Johnson Road,Charlotte,Mr. Zack Morgan,(980) 265-0619
Mecklenburg,LCID,TP,6034-TP-2016,"Kamps, Inc.",Active,5104 N Graham St,Charlotte,Mr. Curtis Brushman,(616) 560-5678
Mecklenburg,HHW,Collection,6035-HHW-2016,Mecklenburg County Compost and Recycling Facility,Active,140 Valleydale Road,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,Type I,Compost,6036-COMPOST-2017,Mecklenburg County Compost and Recycling Facility,Active,2145 Suttle Ave,Charlotte,Mr. Steve Hoffman,(980) 314-3873
Mecklenburg,LCID,LF,60AM-LCID-,Ronald J Brewer,Active,3015 Kelly Rd,Charlotte,Mrs. Beverly Brewer,(704) 399-5500
Mecklenburg,LCID,LF,60AN-LCID,"Metrolina Greenhouses, Inc.",Active,16400 Huntersville-Concord Road,Huntersville,Mr. Robert Hilton,(980) 229-0848
Mecklenburg,LCID,LF,60AR-LCID-,"Tommy Price, Inc.",Active,10900 Pine Grove Ave,Charlotte,Mr. Paul Price,(704) 724-3747
Mecklenburg,LCID,LF,60AX-LCID-,Lakeview Road Landfill Inc,Active,4627 Lakeview Road,Charlotte,Mr. Larry Swaringen,(704) 393-1778
Mecklenburg,LCID,LF,60Q-LCID-,Piedmont Grading & Wrecking,Active,11898 Everett Keith Rd,Huntersville,Mr. Wayne Kerr,(704) 622-1388
Mecklenburg,LCID,LF,60S-LCID-,Kenneth C. Reeves,Active,2323 Salome Church Road,Charlotte,Mr. Kenneth Reeves,(704) 548-8377
Montgomery,MSW,MatRecovery,6202MRF-MWP-,Uwharrie Environmental Mrf,Active,500 Landfill Rd,Mount Gilead,Mr. Joseph Reynolds,(910) 606-3210
Montgomery,MSW,LF,6204-MSWLF-1995,Uwharrie Env. Reg. Landfill,Active,500 Landfill Rd,Mount Gilead,Mr. Joseph Reynolds,(910) 606-3210
Montgomery,YW,TP,6204-TP-2011,Uwharrie T&P Facility,Active,500 Landfill Rd,Troy,Mr. Joseph Reynolds,(910) 606-3210
Moore,CD,LF,6301-CDLF-1992,Moore County C&D Landfill,Active,456 Turning Leaf Way,Aberdeen,Mr. David Lambert,(910) 947-4318
Moore,MSW,Trans,6302-TRANSFER-1994,Uwharrie Env Inc/Moore Cty Transfer Station,Active,645 Turning Leaf Way,Aberdeen,Mr. Joseph Reynolds,(910) 606-3210
Moore,HHW,Collection,6303-HHW-2020,Moore County Eagle Springs Road HHW Collection Center,Active,456 Turning Leaf Way,Aberdeen,Mr. David Lambert,(910) 947-4318
Nash,CD,LF,6403-CDLF-2000,Nash County C&D Landfill,Active,3057 Duke Rd.,Nashville,Mr. Ben Barnes,(252) 459-9899
Nash,MSW,Trans,6405T-TRANSFER-2001,"Rocky Mount, City of Transfer Station #2",Active,1221 Thorpe Rd,Rocky Mount,Mr. Cameron Privott,(252) 343-3152
Nash,Type II,Compost,6406-COMPOST-2014,"Carolina Recycled Ag Materials, LLC.",Active,4330 Universal Leaf Drive,Nashville,Mr. Kyle Bass,(252) 343-1615
Nash,Type I,Compost,6407-COMPOST-2018,Rocky Mount Compost Facility,Active,394 Arrow Road,Rocky Mount,Mr. Chris Pridgen,(252) 467-4909
New Hanover,YW,Compost,6504-COMPOST-2018,New Hanover County Compost Facility,Active,5210 U.S. Highway 421 N.,Wilmington,Mr. Joe Suleyman,(910) 798-4403
New Hanover,MSW,LF,6504-MSWLF-1981,New Hanover County Landfill,Active,5210 US Highway 421 North,Wilmington,Mr. Joe Suleyman,(910) 798-4403
New Hanover,MSW,LF,6504-MSWLF-2017,New Hanover County Landfill,Active,5210 US Highway 421 North,Wilmington,Mr. Joe Suleyman,(910) 798-4403
New Hanover,CD,MatRecovery,6504-MWP-2016,New Hanover County Materials Recovery & Recycling Facility,Active,5210 US Highway 421 North,Wilmington,Mr. Joe Suleyman,(910) 798-4403
New Hanover,HHW,TP,6505-HHW-2013,New Hanover Waste-to-Energy Facility,Active,3002 U.S. Highway 421 N.,Wilmington,Mr. Joe Suleyman,(910) 798-4403
New Hanover,MSW,Trans,6508T-TRANSFER-1993,Waste Management Of Wilmington Transfer,Active,3920 River Rd,Wilmington,Mr. David Greer,(910) 915-9040
New Hanover,LCID,TP,6511-TP-,American Property Experts,Active,606 Sunnyvale Rd,Wilmington,Mrs. Ayesha Waggaman,(910) 793-1460
New Hanover,Indus,LF,6512-INDUS-2016,Duke Energy Progress - Sutton Energy Complex,Active,801 Sutton Steam Plant Road,Wilmington,Mr. John Toepfer,(919) 546-7863
Onslow,LCID,LF,6705-LCID-1991,Onslow County Landfill : LCID Unit,Active,415 Meadowview Road,Jacksonville,Ms. Melissa Moore,(910) 937-1443
Onslow,MSW,LF,6708-MSWLF-1997,Camp Lejeune MSW Landfill,Active,Piney Green Road,Camp Lejeune,Mr. Robert Lowder,(910) 451-5003
Onslow,MSW,LF,6709-MSWLF-1997,Onslow County Subtitle-D Landfill,Active,415 Meadowview Road,Jacksonville,Ms. Melissa Moore,(910) 937-1443
Onslow,Type III,Compost,6710-COMPOST-1999,Camp Lejeune Compost Facility,Active,Piney Green Road,Camp Lejeune,Mr. Robert Lowder,(910) 451-5003
Onslow,LCID,TP,6710-TP-2013,Camp Lejeune T&P,Active,Piney Green Road,Camp Lejeune,Mr. Robert Lowder,(910) 451-5003
Onslow,CD,Trans,6712-TRANSFER-2016,Folkstone C&D Recycling Collection/Transfer Facility,Active,1172 Hwy 172,Holly Ridge,Mr. Kevin Dail,(910) 284-2309
Onslow,LCID,LF,67A-LCID-,Morton Trucking Site,Active,121 Garnet Lane,Jacksonville,Mr. Tim Morton,(910) 548-0194
Onslow,LCID,LF,67C-LCID-,Eastern Excavating Landfill,Active,143 Penguin Ln,Jacksonville,Mrs. Lisa Williams,(910) 353-9100
Onslow,LCID,LF,67D-LCID-,Haugen Landfill,Active,3062 Burgaw Hwy.,Jacksonville,Mr. Mark Haugen,(910) 324-8025
Onslow,LCID,LF,67E-LCID-,Parker Meadow LCID LF,Active,off Jim Parker Road,Jacksonville,Mr. Joey Humphrey,(910) 346-4727
Onslow,LCID,LF,67F-LCID-2012,Rocky Run Inert Debris,Active,3121 New Bern Highway,Jacksonville,Mr. Adam Morton,(910) 330-5776
Orange,CD,LF,6804-CDLF-2005,Orange County C&D Landfill,Active,1514 Eubanks Road,Chapel Hill,Ms. Kristina Witosky,(919) 918-4916
Orange,HHW,TP,6805-HHW-2013,Orange County Walnut Grove HHW,Active,3605 Walnut Grove Church Road,Hillsborough,Ms. Kristina Witosky,(919) 918-4916
Orange,HHW,Collection,6806-HHW-2018,Eubanks Road Convenience Center,Active,1518 Eubanks Road,Chapel Hill,Ms. Kristina Witosky,(919) 918-4916
Pamlico,MSW,Trans,6903T-TRANSFER-1993,Pamlico County Transfer Station,Active,3291 Highway 306 N,"Grantsboro, NC",Mr. Bobby Darden,(252) 633-1564
Pasquotank,CD,LF,7002-CDLF-1996,Pasquotank County C&D Landfill,Active,983 Simpson Ditch Road,Elizabeth City,Mr. Bradley Gardner,(252) 335-4105
Pasquotank,MSW,Trans,7003T-TRANSFER-1994,Pasquotank County Transfer Station,Active,983 Simpson Ditch Road,Elizabeth City,Mr. Bradley Gardner,(252) 335-4105
Pender,MSW,Trans,7103T-TRANSFER-1990,Pender Co Transfer Station,Active,250 Transfer Station Rd.,Hampstead,Mr. Kenny Keel,(910) 259-0212
Pender,LCID,LF,71A-LCID-,Running Deer LCID Landfill,Active,7214 NC Hwy 210,Rocky Point,Mr. Clyde Wisecarver,(910) 619-4121
Perquimans,MSW,Trans,7202T-TRANSFER-1995,Perquimans-Chowan-Gates Transfer,Active,759 Perry's Bridge Rd,Belvidere,Ms. Angel White,(252) 297-6524
Person,Indus,LF,7302-INDUS-1988,Duke Energy Progress - Roxboro,Active,1700 Dunnaway Road,Semora,Mrs. Kimberlee Witt,(336) 215-4576
Person,MSW,LF,7304-MSWLF-1997,Upper Piedmont Regional Landfill,Active,9650 Oxford Road,Rougemont,Mr. Erik Siebold,(336) 364-3699
Person,Indus,LF,7305-INDUS-2012,Duke Energy Progress - Mayo,Active,10660 Boston Road,Roxboro,Mrs. Kimberlee Witt,(336) 215-4576
Person,Tire,Collection,7306-TIRECOLL-2014,Person County Recycling Center,Active,741 Martin Street,Roxboro,Ms. Amanda Everett,(336) 599-7571
Person,LCID,LF,73D-LCID-2002,Duke Energy Progress - Roxboro,Active,1700 Dunnaway Road,Semora,Mrs. Kimberlee Witt,(336) 215-4576
Pitt,CD,MatRecovery,7404-MWP-2016,Pitt County Materials Recovery & Recycling Facility,Active,3025 Landfill Road,Greenville,Mr. John Demary,(252) 902-3355
Pitt,MSW,Trans,7404T-MWP-1996,Pitt County Transfer Station,Active,3025 Landfill Road,Greenville,Mr. John Demary,(252) 902-3355
Pitt,MSW,Trans,7406T-TRANSFER-2001,EJE Recycling Transfer Station,Active,802 recycling lane,Greenville,Mr. judson whitehurst,(252) 916-4770
Pitt,CD,LF,7407-CDLF-2009,C & D Landfill Inc,Active,802 Recycling Lane,Greenville,Mr. Judson Whitehurst,(252) 752-8274
Pitt,LCID,LF,74C-LCID-,E R Lewis Construction,Active,1462 Edwards Farm Road,Winterville,Mr. Curt williford,(252) 321-1101
Pitt,LCID,LF,74D-LCID-,E R Lewis,Active,3034 NC Highway 33 East,Greenville,Mr. Curt Williford,(252) 321-1101
Polk,MSW,Trans,7504T-TRANSFER-2005,Polk County Transfer Station,Active,322 landfill rd,Mill Spring N.C.,Mr. Larry Walker,(828) 894-3737
Randolph,Indus,LF,7602-INDUS-1983,Energizer Battery Manufacturing Inc.,Active,County Land Road,Randleman,Mrs. Julia Bowman,(336) 672-4546
Randolph,Type III,Compost,7604-COMPOST-,N.C. Zoological Park,Active,4401 Zoo Parkway,Asheboro,Mr. Jody Stancil,(336) 879-7420
Randolph,MSW,Trans,7605T-TRANSFER-2002,"Asheboro, City of Recycling/SW Transfer Station",Active,630 Transfer Station Place,Asheboro,Mr. Rusty Turner,(336) 626-1234
Randolph,CD,LF,7606-CDLF-2001,Gold Hill Road C&D Debris Landfill,Active,385 Gold Hill Road,Asheboro,Mr. Al Morton,(336) 629-7175
Randolph,MSW,LF,7607-MSWLF-2015,Great Oak Landfill,Active,3597 Old Cedar Falls Road,Randleman,Mr. Mike McFeeley,(336) 865-3201
Randolph,Type I,Compost,7608-COMPOST-2017,"Asheboro, City of Compost Facility",Active,2139 Old Lexington Road,Asheboro,Mr. Rusty Turner,(336) 626-1234
Richmond,MSW,Trans,7703T-TRANSFER-1994,Richmond County Transfer Facility,Active,191 Walter Kelly Rd,Rockingham,Mr. Bryan Leggett,(910) 997-8338
Richmond,LCID,LF,77A-LCID-1981,"Hamlet, Town Of",Active,1000 Oakhurst Street,Hamlet,Mr. William Stubbs,(910) 582-7987
Robeson,CD,LF,7803-CDLF-1997,Robeson County CDLF,Active,246 Landfill Road,Saint Pauls,Mr. Gene Walters,(910) 865-3348
Robeson,MSW,LF,7803-MSWLF-1997,Robeson County Landfill,Active,246 landfill Road,Saint Pauls,Mr. Gene Walters,(910) 865-3348
Robeson,LCID,LF,78J-LCID-1990,"Lumberton, City of LCID Landfill",Active,500 N Cedar Street,Lumberton,Mr. Robert Armstrong,(910) 671-3851
Rockingham,MSW,Trans,7902T-TRANSFER-1991,"Reidsville, City Of Transfer Facility",Active,709 Marcellus St,Reidsville,Mr. Gary French,(336) 349-1074
Rockingham,HHW,Collection,7903-HHW-2013,"Eden, City of HHW Collection Facility",Active,123 Mebane bridge Rd,Eden,Mr. Dusty Curry,(336) 627-7783
Rockingham,MSW,Trans,7903T-TRANSFER-1991,"Eden, City of Transfer Station",Active,123 Mebane Bridge rd.,Eden,Mr. Dusty Curry,(336) 627-7783
Rockingham,MSW,LF,7904-MSWLF-1995,Rockingham County Landfill,Active,223 Shuff Road,Madison,Ms. kathryn jolly,(336) 613-4141
Rockingham,Indus,LF,7906-INDUS-2016,Duke Energy Carolinas - Dan River,Active,900 South Edgewood Road,Eden,Mrs. Melonie Martin,(336) 445-0610
Rockingham,Type I,Compost,7908-COMPOST-2018,Reidsville Yard Waste & Material Recovery Facility,Active,407 Broad Street,Reidsville,Mr. Gary French,(336) 349-1074
Rowan,MSW,LF,8003-MSWLF-1988,Rowan County Landfill,Active,789 Campbell Rd.,Woodleaf,Mr. Caleb Sinclair,(704) 216-8606
Rowan,MSW,Trans,8004T-TRANSFER-1995,East Spencer Waste Transfer Facility,Active,1000 N Long St,East Spencer,Mr. Timothy Owens,(252) 230-2609
Rowan,Type I,Compost,8006-COMPOST-2015,Salisbury Grants Creek Compost Facility,Active,1955 Grubb Ferry Rd,Salisbury,Mr. Michael Hanna,(704) 216-8028
Rutherford,CD,LF,8103-CDLF-2002,Rutherford County C&D,Active,656 Laurel Hill Dr.,Rutherfordton,Mr. James kilgo,(828) 287-6002
Rutherford,MSW,Trans,8104T-TRANSFER-1998,Rutherford County Transfer Facility,Active,656 Laurel Hill Dr.,Rutherfordton,Mr. James Kilgo,(828) 287-6002
Rutherford,MSW,LF,8105-MSWLF-,Rutherford County MSW Landfill,Active,656 Laurel Hill Dr.,Rutherfordton,Mr. James kilgo,(828) 287-6002
Rutherford,Indus,LF,8106-INDUS-2009,Duke Energy Carolinas - Rogers,Active,573 Duke Power Road,Mooresboro,Mr. Ryan Czop,(980) 373-2779
Sampson,CD,LF,8202-CDLF-1996,"Sampson County Disposal, LLC",Active,7434 Roseboro Hwy,Roseboro,Mr. Joseph Smith,(910) 525-4132
Sampson,MSW,LF,8202-MSWLF-2000,"Sampson County Disposal, LLC",Active,7434 Roseboro Hwy,Roseboro,Mr. Joseph Smith,(910) 525-4132
Sampson,Type III,Compost,8205-COMPOST-2015,Coastal Protein,Active,1600 Martin Road,Godwin,Mr. Blake Bullard,(910) 567-6102
Scotland,CD,LF,8301-CDLF-1997,Scotland County CDLF,Active,10681 Patterson Rd,Maxton,Mr. Bryant Higgins,(910) 844-9206
Scotland,MSW,Trans,8302T-TRANSFER-1997,Scotland County Transfer Station,Active,21104 Old Maxton Rd,Maxton,Mr. Bryant Higgins,(910) 844-9206
Stanly,CD,LF,8401-CDLF-1997,"Albemarle, City of CDLF",Active,40592B Stony Gap Road,Albemarle,Mr. Darren Preslar,(704) 984-9680
Stanly,MSW,LF,8401-MSWLF-1999,"Albemarle, City of Landfill",Active,40592B Stony Gap Road,Albemarle,Mr. Darren Preslar,(704) 984-9680
Stokes,Indus,LF,8504-INDUS-2007,"Duke Energy Carolinas - Belews Creek, Craig Road Landfill",Active,3195 Pine Hall Road,Belews Creek,Mrs. Melonie Martin,(336) 445-0610
Stokes,Indus,LF,8505-INDUS-2008,"Duke Energy Carolinas - Belews Creek, FGD",Active,3195 Pine Hall Road,Belews Creek,Mrs. Melonie Martin,(336) 445-0610
Surry,MSW,LF,8606-MSWLF-1998,Surry County MSWLF,Active,237 Landfill Road,Mount Airy,Mrs. Jessica Montgomery,(336) 401-8375
Surry,Tire,TP,8607-TIRETP-2013,"New River Tire Recycling, LLC",Active,312 E 52 Bypass,Pilot Mountain,Mr. Ben Bryant,(276) 728-0201
Swain,MSW,Trans,8702T-TRANSFER-,Swain County Transfer Facility,Active,1422 hwy 19 south,bryson city,Mr. scott turpin,(828) 488-4999
Swain,LCID,LF,87A-LCID-,Swain County LCID,Active,1422 hwy 19 sounth,bryson city,Mr. scott turpin,(828) 488-4999
Transylvania,HHW,TP,8807-HHW-,Transylvania County HHW Unit,Active,500 Howell Road,Brevard,Mr. Kenn Webb,(828) 577-3603
Transylvania,LCID,LF,8807-LCID-1988,Transylvania County LCID,Active,500 Howell Road,Brevard,Mr. Kenn Webb,(828) 884-1842
Transylvania,MSW,LF,8807-MSWLF-1990,Transylvania County Landfill,Active,500 Howell Road,Brevard,Mr. Kenn Webb,(828) 884-1842
Union,CD,LF,9001-CDLF-1998,Union County C&D,Active,2125 Austin Chaney Road,Wingate,Mr. Christopher Medlin,(704) 989-1949
